timestep,field_total_variation_distance,field_relative_l2_error,field_rmse,rho_x_sum_total_variation_distance,rho_x_mean_relative_l2_error
1,0.02880859375,0.06244912508600018,0.003190218346038081,0.02783203125,0.05790994714486117
2,0.04052734375,0.07659795077652891,0.003912920025591945,0.0244140625,0.04804816591468024
3,0.048095703125,0.07605582970348117,0.0038852125153416867,0.017333984375,0.03913216319306675
4,0.058837890625,0.08135106513853022,0.005395314485012102,0.031494140625,0.06592799436058434
5,0.059814453125,0.08998483199888584,0.00459753163702795,0.03076171875,0.0644516997282635
6,0.0673828125,0.10160868954526266,0.005189424203857416,0.028076171875,0.06266355979610741
7,0.078369140625,0.11076603965920082,0.005658851067626591,0.018798828125,0.040277783072457454
