y,baseline_ux,noisy_ux,baseline_uy,noisy_uy
0,0.19100259224977123,0.1802259778935421,-0.0660025922497712,0.06523620508602013
1,0.18016501040768895,0.06273514981730877,-0.05516501040768898,0.06226485018269126
2,0.0,-0.0023584905660377353,0.25,0.24528301886792453
3,0.0,0.125,0.25,0.375
