timestep,hardware_name,hardware_label,ux_x_mean_relative_l2_error,uy_x_mean_relative_l2_error,ux_field_rmse,uy_field_rmse,ux_field_linf_error,uy_field_linf_error
1,superconducting_ibm_eagle_r3_2024,IBM Eagle r3,1.011544611688093,0.8635805929495122,0.6647653309129635,0.42012696618898476,1.2467532467532467,0.9726027397260274
1,neutral_atom_aws_2023,Neutral atom,0.16126653835406868,0.19317189491266226,0.17719875680599292,0.17715061009614544,1.0,1.0
3,superconducting_ibm_eagle_r3_2024,IBM Eagle r3,1.0213786236746356,1.0176237656097906,0.6646865642213681,0.5221109929746983,1.1549295774647887,1.1147540983606556
3,neutral_atom_aws_2023,Neutral atom,0.25480791633564376,0.5154971872007535,0.2509066041458752,0.3070249031189352,1.0,1.0
