two_qubit_probability,single_qubit_probability,field_total_variation_distance,field_relative_l2_error,field_rmse,rho_x_sum_total_variation_distance,rho_x_mean_relative_l2_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-05,1.0000000000000002e-06,0.020751953125,0.04598701286420165,0.00234806934346574,0.017333984375,0.035308889053953935
3e-05,3e-06,0.025390625,0.04774024972417061,0.0024375885678364086,0.017333984375,0.03699880209656659
0.0001,1e-05,0.0341796875,0.059756818988242213,0.0030511473998901337,0.015869140625,0.03227440616306674
0.0003,2.9999999999999997e-05,0.10400390625,0.15335321022127152,0.007830123098143871,0.02001953125,0.04388674419102803
0.001,0.0001,0.253173828125,0.362524097484875,0.018510263366865856,0.021240234375,0.052291535713513936
0.003,0.00030000000000000003,0.460693359375,0.5990310272974494,0.030586165601481467,0.091064453125,0.17605005781175348
0.01,0.001,0.601806640625,0.7633181480412272,0.03897456762454502,0.164306640625,0.31312627211676
