Component,ABQLBM,MSQLBM,STQBM
Initialization,0.0003829624271307604,4.375027343920899e-05,0.5425264217413186
Streaming,0.13152631802902004,0.004725029531434571,0.003019627579265224
Reflection / boundary,0.8680907195438492,0.9950562191013694,0.41620533467539006
Collision,0.0,0.0,0.03824861600402617
Ancilla prep.,0.0,0.00017500109375683597,0.0
