Component,ABQLBM,MSQLBM,STQBM
Initialization,0.00021652832912306028,0.0,0.5147058823529411
Streaming,0.11692529772645255,0.008129285014691479,0.025210084033613446
Reflection / boundary,0.8828581739444243,0.9916748285994124,0.3235294117647059
Collision,0.0,0.0,0.13655462184873948
Ancilla prep.,0.0,0.0001958863858961802,0.0
