x,baseline_rho_x_mean,noisy_rho_x_mean,signed_error,absolute_error,baseline_rho_x_sum,noisy_rho_x_sum,baseline_rho_x_centerline,noisy_rho_x_centerline
0,0.046875,0.078125,0.03125,0.03125,0.1875,0.3125,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.046875,0.078125,0.03125,0.03125,0.1875,0.3125,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.078125,0.046875,-0.03125,0.03125,0.3125,0.1875,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.078125,0.046875,-0.03125,0.03125,0.3125,0.1875,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
